x,y,u,v
0.1287168,0.220813,0.015029848,0.033667773
0.111386895,0.29941672,0.012415975,0.029077768
0.09238827,0.3855891,0.009131968,0.025598764
0.07146779,0.48047876,0.004993975,0.023704112
0.048318326,0.58547884,-0.00024393201,0.024053454
0.022563428,0.70229626,-0.006916076,0.027577043
-0.006262958,0.8330449,-0.015484929,0.035606265
-0.038745046,0.9803748,-0.026602268,0.050079226
-0.07562518,1.1476537,-0.04120946,0.07387674
0.17732242,0.21941829,0.012933046,0.033348948
0.16214478,0.29837665,0.010636181,0.028764188
0.14549732,0.38498038,0.0077463686,0.025312781
0.12715617,0.48039642,0.0040997565,0.023479491
0.10684842,0.5860419,-0.00052312016,0.023941219
0.08424035,0.7036551,-0.006421387,0.027654171
0.058917403,0.8353915,-0.014009297,0.03599
0.030359238,0.9839579,-0.023873031,0.050950885
-0.002096057,1.152799,-0.036860764,0.075520754
0.22642612,0.2180093,0.01088357,0.03302431
0.2134467,0.2973255,0.008918732,0.028444946
0.19920349,0.38436478,0.006442189,0.02502188
0.18350235,0.4803131,0.0033116043,0.023251623
0.1661076,0.586612,-0.00066423416,0.023828685
0.1467292,0.70503175,-0.005746275,0.027736366
0.1250076,0.8377711,-0.012296915,0.0363881
0.1004903,0.9875943,-0.020830214,0.051852286
0.07260057,1.1580262,-0.03209251,0.07722139
0.27603543,0.21658576,0.008883387,0.032693684
0.2653017,0.29626292,0.007266104,0.028119981
0.25351685,0.3837422,0.005222738,0.024725974
0.24051857,0.4802288,0.0026338398,0.023020357
0.22610933,0.5871892,-0.00066134334,0.023715854
0.21004617,0.70642674,-0.004882872,0.027823746
0.19202694,0.8401841,-0.010336965,0.03680086
0.17167121,0.9912851,-0.017459214,0.05278492
0.14849314,1.163337,-0.026883721,0.0789808
0.3261583,0.21514767,0.0069345236,0.032357067
0.3177185,0.2951889,0.005680889,0.027789116
0.30844766,0.38311264,0.0040914416,0.02442494
0.29821658,0.4801435,0.0020710528,0.022785664
0.28686786,0.5877737,-0.00050854683,0.023602843
0.27420774,0.70784044,-0.0038231611,0.02791661
0.25999516,0.8426312,-0.008118302,0.03722906
0.24392578,0.99503165,-0.013744086,0.05374962
0.22561026,1.1687338,-0.02121231,0.080801964
0.37680253,0.21369436,0.0050391257,0.03201425
0.37070647,0.2941032,0.0041659176,0.02745229
0.36400664,0.38247582,0.003051877,0.024118632
0.35660863,0.48005712,0.001627922,0.022547424
0.34839743,0.58836555,-0.00019943714,0.023489475
0.33923107,0.7092729,-0.0025584996,0.028015077
0.32893255,0.8451133,-0.0056292117,0.037672937
0.31727836,0.9988351,-0.009668857,0.05474782
0.30398202,1.1742179,-0.015054822,0.0826869
0.4279765,0.21222597,0.0031992793,0.031664968
0.42427486,0.29300556,0.0027239919,0.027109236
0.42020455,0.38183165,0.002107799,0.02380699
0.4157075,0.4799697,0.0013093352,0.022305518
0.41071296,0.58896506,0.00027254224,0.023375988
0.40513352,0.71072483,-0.0010800958,0.028119385
0.39885995,0.84763086,-0.0028574765,0.038133383
0.39175433,1.0026966,-0.0052161217,0.055781007
0.3836392,1.1797922,-0.008386761,0.08463824
0.4796884,0.21074209,0.0014172494,0.031309247
0.4784333,0.29189584,0.0013579726,0.026759952
0.47705245,0.38118005,0.0012629628,0.023489803
0.47552598,0.47988126,0.0011204779,0.022060007
0.4738295,0.5895722,0.00091418624,0.023262262
0.471933,0.7121965,0.0006214082,0.028229833
0.46979892,0.85018504,0.00020974874,0.038610935
0.46737957,1.006618,-0.00036793947,0.056850195
0.46461365,1.1854587,-0.0011821091,0.08665931
0.5319469,0.20924264,-0.00030457973,0.030946791
0.53319156,0.29077384,0.00007092953,0.026404083
0.53456175,0.38052088,0.00052148104,0.023167014
0.53607726,0.47979173,0.0010665655,0.02181068
0.53776264,0.59018725,0.0017326474,0.023148358
0.53964806,0.7136885,0.002555728,0.028346658
0.54177153,0.8527763,0.0035859346,0.03910637
0.5441809,1.0106003,0.004894674,0.057957172
0.54693836,1.1912198,0.0065865517,0.08875251
0.58476067,0.20772716,-0.0019638538,0.0305776
0.5885598,0.2896393,-0.0011338592,0.026041627
0.59274405,0.37985402,-0.000112593174,0.022838414
0.597375,0.4797011,0.0011532307,0.02155745
0.60252833,0.5908103,0.0027354956,0.023034334
0.6082977,0.71520084,0.0047330856,0.028470099
0.6148005,0.85540557,0.0072851777,0.03962022
0.62218606,1.014645,0.010591745,0.05910337
0.6306474,1.1970775,0.01494813,0.0909214
0.63813853,0.20619556,-0.00355798,0.030201316
0.6445481,0.28849202,-0.002253294,0.025672376
0.65161115,0.37917927,-0.0006348491,0.022503853
0.659433,0.4796093,0.0013861656,0.021300316
0.668143,0.59144145,0.0039302707,0.02292025
0.6779012,0.71673435,0.007164061,0.028600395
0.68890923,0.85807383,0.0113223195,0.040153265
0.70142365,1.0187535,0.016744316,0.0602901
0.7157761,1.2030346,0.023933232,0.09316909
0.6920897,0.20464745,-0.0050845146,0.029817969
0.701167,0.28733194,-0.003283918,0.025296152
0.7111753,0.37849653,-0.0010408163,0.022163242
0.7222656,0.4795164,0.00177145,0.021039128
0.7346233,0.592081,0.0053253174,0.022805989
0.7484788,0.7182893,0.0098598,0.028737843
0.764122,0.8607818,0.015712857,0.040706217
0.78192276,1.0229275,0.023374438,0.061519623
0.80236065,1.2090938,0.033574224,0.09549892
0.74662334,0.20308268,-0.0065405965,0.029427141
0.75842726,0.28615865,-0.0042221546,0.024912834
0.77144897,0.37780565,-0.0013258457,0.021816373
0.7858873,0.47942233,0.0023151636,0.020773768
0.8019865,0.59272903,0.006928861,0.022691727
0.8200509,0.7198661,0.012831867,0.028882682
0.8404635,0.8635304,0.020473063,0.04128003
0.8637142,1.0271685,0.030505478,0.06279302
0.89043885,1.2152574,0.043905497,0.097914934
0.8017491,0.20150086,-0.007923484,0.029028863
0.81633973,0.284972,-0.0050643682,0.024522156
0.8324449,0.37710652,-0.0014851093,0.021463156
0.850313,0.47932708,0.0030240417,0.020504177
0.8702504,0.5933857,0.008750021,0.022577465
0.89263874,0.72146535,0.01609248,0.02903533
0.91795945,0.8663206,0.025620103,0.041875362
0.94682896,1.0314782,0.038162053,0.06411266
0.9800496,1.221528,0.054962873,0.10042012
0.8574765,0.19990182,-0.009230435,0.028622925
0.8749157,0.28377175,-0.005806744,0.024124026
0.894176,0.37639895,-0.0015134811,0.021103352
0.9155582,0.47923058,0.0039048195,0.020230263
0.9394333,0.59405124,0.010797918,0.022463262
0.9662641,0.72308743,0.019654512,0.029196024
0.9966362,0.86915326,0.031171978,0.042493105
1.0312996,1.035858,0.04637003,0.06548023
1.0712335,1.2279091,0.0667851,0.10301936
0.9138155,0.19828525,-0.01045835,0.02820906
0.93416685,0.28255767,-0.0064453483,0.023718148
0.95665586,0.37568283,-0.0014056563,0.020736843
0.98163855,0.47913286,0.0049643517,0.01995191
1.0095537,0.59472585,0.013082027,0.02234906
1.0409496,0.7247329,0.023531199,0.029365182
1.0765207,0.8720294,0.037147403,0.043134093
1.1171596,1.0403101,0.055156708,0.06689787
1.164032,1.2344029,0.07941246,0.10571647
